number_of_steps,episode_number,won,algorithm,state,Q_value_state
2,592,0,standard,,
5,593,0,standard,,
17,594,0,standard,5,0.02176290546923383
3,595,0,standard,5,0.01747909244901147
16,596,0,standard,,
5,597,0,standard,,
11,598,0,standard,,
3,599,0,standard,,
8,600,0,standard,,
8,601,0,standard,,
2,602,0,standard,5,0.01958661492231045
2,603,0,standard,,
17,604,0,standard,,
16,605,0,standard,5,0.019238912168082985
16,606,0,standard,,
22,607,0,standard,,
9,608,0,standard,,
8,609,0,standard,,
3,610,0,standard,,
21,611,0,standard,,
2,612,0,standard,,
8,613,0,standard,5,0.01899089789015108
8,614,0,standard,,
6,615,0,standard,,
6,616,0,standard,,
15,617,0,standard,,
18,618,0,standard,5,0.017091808101135975
8,619,0,standard,,
11,620,0,standard,5,0.13659180354417697
3,621,0,standard,,
12,622,0,standard,,
21,623,0,standard,,
9,624,0,standard,,
8,625,0,standard,,
2,626,0,standard,,
17,627,0,standard,,
18,628,0,standard,,
9,629,0,standard,,
13,630,0,standard,,
6,631,0,standard,,
6,632,0,standard,,
24,633,0,standard,,
6,634,0,standard,,
27,635,0,standard,,
6,636,0,standard,,
6,637,0,standard,,
4,638,0,standard,,
3,639,0,standard,,
10,640,0,standard,,
3,641,0,standard,5,0.028315834606913712
30,642,0,standard,,
10,643,0,standard,,
6,644,0,standard,,
4,645,0,standard,,
25,646,0,standard,5,0.026274679292599887
18,647,0,standard,5,0.021889669140857708
8,648,0,standard,,
8,649,0,standard,,
7,650,0,standard,,
13,651,0,standard,,
10,652,0,standard,5,0.01970070222677194
8,653,0,standard,,
4,654,0,standard,5,0.023647211363339898
19,655,1,standard,,
6,656,0,standard,,
6,657,0,standard,,
9,658,0,standard,,
15,659,0,standard,5,0.158430292088485
11,660,0,standard,,
17,661,0,standard,,
18,662,0,standard,,
14,663,0,standard,,
10,664,0,standard,5,0.0288603222515421
2,665,0,standard,5,0.02597429002638789
3,666,0,standard,,
11,667,0,standard,,
11,668,0,standard,,
28,669,1,standard,,
12,670,0,standard,,
23,671,0,standard,,
20,672,0,standard,,
9,673,1,standard,,
17,674,0,standard,5,0.03517764455111494
10,675,0,standard,,
4,676,0,standard,,
21,677,0,standard,5,0.041501805603867674
2,678,0,standard,5,0.037351625043480906
6,679,0,standard,,
7,680,0,standard,,
5,681,0,standard,,
3,682,0,standard,5,0.021282490227005908
4,683,0,standard,,
15,684,0,standard,,
5,685,0,standard,5,0.18605496761146725
12,686,0,standard,,
3,687,0,standard,,
10,688,0,standard,5,0.05474464589151443
19,689,0,standard,,
6,690,0,standard,,
7,691,0,standard,,
9,692,1,standard,,
12,693,0,standard,,
11,694,0,standard,,
13,695,0,standard,,
6,696,0,standard,,
21,697,0,standard,,
15,698,0,standard,,
7,699,0,standard,,
13,700,0,standard,5,0.022893348130492236
10,701,0,standard,5,0.04927018130236299
19,702,0,standard,,
6,703,0,standard,,
10,704,0,standard,,
2,705,0,standard,5,0.04434316317212669
16,706,0,standard,,
12,707,0,standard,,
19,708,1,standard,,
19,709,0,standard,,
2,710,0,standard,5,0.039908846854914026
10,711,0,standard,5,0.035917962169422626
6,712,0,standard,,
17,713,0,standard,5,0.03533378747551156
3,714,0,standard,,
9,715,0,standard,,
10,716,0,standard,5,0.0318004087279604
27,717,0,standard,,
19,718,0,standard,5,0.22003467055201215
10,719,0,standard,5,0.028620367855164364
4,720,0,standard,,
15,721,0,standard,5,0.2145954459556077
25,722,0,standard,,
19,723,1,standard,,
17,724,0,standard,,
9,725,1,standard,,
16,726,0,standard,,
33,727,0,standard,,
10,728,0,standard,5,0.03924201616603943
13,729,0,standard,,
10,730,1,standard,,
18,731,0,standard,,
6,732,0,standard,,
14,733,0,standard,,
6,734,0,standard,,
21,735,0,standard,,
6,736,0,standard,,
18,737,0,standard,,
15,738,0,standard,,
10,739,1,standard,,
14,740,0,standard,,
4,741,0,standard,,
18,742,0,standard,,
2,743,0,standard,5,0.07455173930844924
14,744,0,standard,,
2,745,0,standard,5,0.06709656537760432
12,746,0,standard,,
18,747,1,standard,,
14,748,0,standard,,
8,749,0,standard,,
3,750,0,standard,,
20,751,1,standard,,
19,752,0,standard,5,0.2948904779910952
6,753,0,standard,,
12,754,1,standard,,
33,755,0,standard,,
14,756,0,standard,,
14,757,0,standard,,
5,758,0,standard,,
23,759,0,standard,,
8,760,0,standard,,
2,761,0,standard,5,0.10992955453493936
6,762,0,standard,,
6,763,0,standard,,
24,764,0,standard,5,0.3014458123756776
24,765,0,standard,,
8,766,0,standard,,
2,767,0,standard,5,0.09893659908144542
3,768,0,standard,,
3,769,0,standard,,
10,770,0,standard,,
48,771,0,standard,,
10,772,0,standard,,
6,773,0,standard,,
4,774,0,standard,,
19,775,0,standard,,
2,776,0,standard,5,0.0915001002784887
18,777,1,standard,,
6,778,0,standard,,
12,779,0,standard,,
9,780,0,standard,5,0.30171389544055205
11,781,0,standard,5,0.27154250589649687
4,782,0,standard,5,0.04109587044674466
16,783,0,standard,,
2,784,0,standard,5,0.08235009025063983
21,785,0,standard,5,0.078667885057894
25,786,0,standard,,
10,787,0,standard,,
17,788,0,standard,,
10,789,0,standard,5,0.0708010965521046
12,790,0,standard,,
2,791,0,standard,5,0.06372098689689415
9,792,0,standard,,
24,793,1,standard,,
15,794,0,standard,5,0.3058497650034017
3,795,0,standard,,
21,796,0,standard,,
7,797,0,standard,5,0.03932583620556557
11,798,1,standard,,
7,799,0,standard,,
3,800,0,standard,,
2,801,0,standard,5,0.08929638015862672
4,802,0,standard,,
16,803,1,standard,,
9,804,0,standard,,
2,805,0,standard,5,0.08036674214276404
2,806,0,standard,,
6,807,0,standard,,
8,808,0,standard,,
8,809,0,standard,,
7,810,0,standard,,
11,811,1,standard,,
4,812,0,standard,,
6,813,0,standard,,
12,814,1,standard,,
2,815,0,standard,5,0.07233006792848763
5,816,0,standard,,
5,817,0,standard,,
16,818,0,standard,,
8,819,0,standard,,
7,820,0,standard,,
15,821,0,standard,5,0.42578702807348934
11,822,1,standard,,
15,823,0,standard,,
2,824,0,standard,,
6,825,0,standard,,
3,826,0,standard,,
11,827,1,standard,,
7,828,0,standard,,
8,829,0,standard,,
2,830,0,standard,5,0.11660133078604872
19,831,1,standard,,
7,832,0,standard,,
10,833,0,standard,5,0.10494119770744384
24,834,0,standard,,
2,835,0,standard,5,0.09444707793669946
5,836,0,standard,,
8,837,0,standard,,
8,838,0,standard,,
7,839,0,standard,,
5,840,0,standard,,
8,841,0,standard,,
4,842,0,standard,,
2,843,0,standard,5,0.1100287613406907
14,844,0,standard,,
6,845,0,standard,,
2,846,0,standard,5,0.09902588520662163
9,847,0,standard,,
12,848,0,standard,,
2,849,0,standard,5,0.08912329668595947
14,850,0,standard,,
2,851,0,standard,5,0.1035388835262121
3,852,0,standard,,
9,853,0,standard,,
5,854,0,standard,,
8,855,0,standard,,
20,856,1,standard,,
9,857,0,standard,,
5,858,0,standard,,
9,859,0,standard,,
8,860,0,standard,,
7,861,0,standard,,
6,862,1,standard,,
6,863,0,standard,,
7,864,0,standard,,
3,865,0,standard,,
7,866,0,standard,,
7,867,0,standard,,
4,868,0,standard,,
10,869,0,standard,,
9,870,0,standard,,
10,871,1,standard,,
5,872,0,standard,,
7,873,0,standard,,
5,874,0,standard,,
19,875,0,standard,,
7,876,0,standard,,
10,877,0,standard,,
4,878,0,standard,,
11,879,0,standard,,
3,880,0,standard,5,0.035393252585009014
2,881,0,standard,5,0.13173631109157172
9,882,1,standard,,
23,883,0,standard,5,0.42034026664011254
11,884,0,standard,,
5,885,0,standard,5,0.3783062399761013
11,886,1,standard,,
11,887,0,standard,,
9,888,1,standard,,
5,889,0,standard,,
12,890,1,standard,,
4,891,0,standard,,
8,892,0,standard,,
9,893,0,standard,,
2,894,0,standard,5,0.1689246977309754
16,895,0,standard,,
5,896,0,standard,5,0.3652803108059754
3,897,0,standard,5,0.03185392732650811
28,898,1,standard,,
20,899,0,standard,5,0.3353501204782691
9,900,0,standard,,
22,901,0,standard,,
23,902,0,standard,,
9,903,0,standard,,
6,904,0,standard,,
19,905,1,standard,,
15,906,0,standard,5,0.32087911523993495
39,907,0,standard,5,0.2911017227767946
13,908,0,standard,,
14,909,0,standard,,
10,910,0,standard,,
39,911,0,standard,5,0.2619915504991151
11,912,0,standard,,
5,913,0,standard,,
22,914,0,standard,,
18,915,0,standard,5,0.19977800535165682
14,916,0,standard,,
54,917,0,standard,,
11,918,0,standard,,
2,919,0,standard,5,0.1823139858229925
11,920,0,standard,,
16,921,0,standard,5,0.16408258724069325
2,922,0,standard,5,0.14767432851662393
11,923,0,standard,,
18,924,0,standard,,
30,925,0,standard,,
43,926,0,standard,,
4,927,0,standard,,
21,928,0,standard,,
37,929,0,standard,,
8,930,0,standard,,
9,931,0,standard,,
14,932,0,standard,,
3,933,0,standard,,
12,934,0,standard,,
10,935,0,standard,5,0.16448481665348572
7,936,0,standard,,
5,937,0,standard,,
6,938,0,standard,,
20,939,0,standard,,
6,940,0,standard,,
39,941,0,standard,,
33,942,0,standard,,
13,943,0,standard,,
17,944,0,standard,5,0.15842929286371923
19,945,0,standard,,
6,946,0,standard,,
2,947,0,standard,5,0.1425863635773473
18,948,0,standard,5,0.12832772721961258
12,949,0,standard,,
7,950,0,standard,5,0.07969015302087011
9,951,0,standard,,
2,952,0,standard,5,0.11549495449765132
10,953,0,standard,5,0.10394545904788619
6,954,0,standard,5,0.08006109754425762
16,955,0,standard,,
35,956,0,standard,,
9,957,0,standard,5,0.25085789648155554
25,958,0,standard,,
25,959,0,standard,,
13,960,0,standard,,
26,961,0,standard,,
2,962,0,standard,5,0.14523802168506464
13,963,0,standard,,
21,964,0,standard,,
30,965,0,standard,,
6,966,0,standard,,
53,967,0,standard,,
20,968,0,standard,,
6,969,0,standard,,
9,970,1,standard,,
3,971,0,standard,,
8,972,0,standard,5,0.1368051136712146
11,973,0,standard,,
16,974,0,standard,,
15,975,0,standard,,
14,976,0,standard,,
12,977,0,standard,,
10,978,0,standard,5,0.12312460230409313
39,979,0,standard,,
